,titles,authors,ratings,num_ratings,id,description,pages,genre,format
724,Kurt Vonnegut's Cat's Cradle,Stephen Hawking,4.35,"28,219 ratings",4983,"A critical overview of the work features the writings of Terry Southern, William S. Doxey, Jerome Klinkowitz, Richard Giannone, John L. Simons, James Lundquist, and other scholars.  - After the bomb, Dad came up with ice / Terry Southern - Vonnegut's Cat's cradle / William S. Doxey - The private person as public figure / Jerome Klinkowitz - Cat's cradle / Richard Giannone - Tangled up in you : a playful reading of Cat's cradle / John L. Simons - From formula toward experiment : Cat's cradle and God bless you, Mr. Rosewater / Jerome Klinkowitz - Playful genesis and dark revelation in Cat's cradle / Leonard Mustazza - Bokononism as a structure of ironies / Zoltan Ab di-Nagy - Mother night, Cat's cradle, and The crimes of our time / Jerome Klinkowitz - Vonnegut's invented religions as sense-making systems / Peter Freese - Icy solitude : magic and violence in Macondo and San Lorenzo / Wendy B. Faris - Vonnegut's cosmos / David H. Goldsmith - Cosmic irony / James Lundquist - Cat's cradle : Jonah and the whale / Lawrence R. Broer - Hurting 'til it laughs : the painful-comic science fiction stories of Kurt Vonnegut / Peter J. Reed - The paradox of ""awareness"" and language in Vonnegut's fiction / Loree Rackstraw.",258 pages,"{'Novels', 'Science Fiction', 'Classics', 'Fiction', 'Literature'}",
725,"Things Not Seen (Things, #1)",Harold Bloom,3.89,"24,252 ratings",542752,"Bobby Phillips is an average fifteen-year-old boy. Until the morning he wakes up and can't see himself in the mirror. Not blind, not dreaming. Bobby is just plain invisible...  There doesn't seem to be any rhyme or reason to Bobby's new condition; even his dad the physicist can't figure it out. For Bobby that means no school, no friends, no life. He's a missing person. Then he meets Alicia. She's blind, and Bobby can't resist talking to her, trusting her. But people are starting to wonder where Bobby is. Bobby knows that his invisibility could have dangerous consequences for his family and that time is running out. He has to find out how to be seen again before it's too late.",256 pages,"{'Fiction', 'Science Fiction', 'Young Adult', 'Fantasy'}",
726,Distant Shores,(Editor),3.70,"19,888 ratings",836984,"Elizabeth and Jackson Shore married young, raised two daughters, and weathered the storms of youth as they built a family. From a distance, their lives look picture perfect. But after the girls leave home, Jack and Elizabeth quietly drift apart. When Jack accepts a wonderful new job, Elizabeth puts her own needs aside to follow him across the country. Then tragedy turns El",416 pages,"{'Romance', 'Chick Lit', 'Contemporary', 'Fiction', 'Womens Fiction'}",
727,The Frog Princess,Andrew Clements,3.82,"25,438 ratings",65091,"Princess Emeralda a.ka. Emma isn't exactly an ideal princess. Her laugh is more like a donkey's bray than tinkling bells, she trips over her own feet and she does not like Prince Jorge, whom her mother hopes she will marry. But if Emma ever thought to escape her troubles, she never expected it to happen by turning into a frog! When convinced to kiss a frog so he might return to being a prince, somehow the spell is reversed and Emma turns into a frog herself! Thus begins their adventure--a quest to return to human form.  Fascinating and hilarious characters ranging from a self-conscious but friendly bat to a surprisingly loyal snake and a wise green witch confirm that readers won't soon forget this madcap story. A fantastic debut from the talented E.D. Baker.",215 pages,"{'Middle Grade', 'Fantasy', 'Romance', 'Fairy Tales', 'Young Adult', 'Magic', 'Childrens'}",
728,"The Day the World Came to Town: 9/11 in Gander, Newfoundland",Kristin Hannah,4.18,"16,884 ratings",148775,"Perfect for fans of the hit Broadway musical Come from Away. When 38 jetliners bound for the United States were forced to land at Gander International Airport in Canada by the closing of U.S. airspace on September 11, the population of this small town on Newfoundland Island swelled from 10,300 to nearly 17,000. The citizens of Gander met the stranded passengers with an overwhelming display of friendship and goodwill. As the passengers stepped from the airplanes, exhausted, hungry and distraught after being held on board for nearly 24 hours while security checked all of the baggage, they were greeted with a feast prepared by the townspeople. Local bus drivers who had been on strike came off the picket lines to transport the passengers to the various shelters set up in local schools and churches. Linens and toiletries were bought and donated. A middle school provided showers, as well as access to computers, email, and televisions, allowing the passengers to stay in touch with family and follow the news.   Over the course of those four days, many of the passengers developed friendships with Gander residents that they expect to last a lifetime. As a show of thanks, scholarship funds for the children of Gander have been formed and donations have been made to provide new computers for the schools. This book recounts the inspiring story of the residents of Gander, Canada, whose acts of kindness have touched the lives of thousands of people and been an example of humanity and goodwill.",256 pages,"{'Nonfiction', 'Canada', 'Cultural', 'History'}",
729,"Q is for Quarry (Kinsey Millhone, #17)",E.D. Baker,3.94,"22,936 ratings",262229,"She was a ""Jane Doe,"" an unidentified white female whose decomposed body was discovered near a quarry off California's Highway 1. The case fell to the Santa Teresa County Sheriff's Department, but the detectives had little to go on. The woman was young, her hands were bound with a length of wire, there were multiple stab wounds, and her throat had been slashed. After months of investigation, the murder remained unsolved.  That was eighteen years ago. Now the two men who found the body, both nearing the end of long careers in law enforcement, want one last shot at the case. Old and ill, they need someone to help with their legwork and they turn to Kinsey Millhone. They will, they tell her, find closure if they can just identify the victim. Kinsey is intrigued and agrees to the job.  But revisiting the past can be a dangerous business, and what begins with the pursuit of Jane Doe's real identity ends in a high-risk hunt for her killer.  ""Q"" is for Quarry is based on an unsolved homicide that occurred in 1969, and Grafton's interest in the case has generated renewed police efforts. During the past year, the body was exhumed and a nationally known forensic artist did the facial reconstruction that appears in the closing pages of ""Q"" is for Quarry. Both Grafton and the dedicated members of the Santa Barbara Sheriff's Department are hoping the photograph will trigger memories that may lead to a positive identification.  On the day Jane Doe was reburied, many officers were at the gravesite. ""It's eerie,"" Grafton writes, ""to think about the power this woman still has. Here we are, thirty-three years later, and she still wants to go home.""",618 pages,"{'Thriller', 'Detective', 'Audiobook', 'Suspense', 'Mystery Thriller', 'Crime', 'Fiction', 'Womens', 'Mystery', 'Literature', 'American'}",
730,Family Matters,Jim DeFede,4.01,"20,286 ratings",19661,"Rohinton Mistry’s enthralling novel is at once a domestic drama and an intently observed portrait of present-day Bombay in all its vitality and corruption. At the age of seventy-nine, Nariman Vakeel, already suffering from Parkinson’s disease, breaks an ankle and finds himself wholly dependent on his family. His step-children, Coomy and Jal, have a spacious apartment (in the inaptly named Chateau Felicity), but are too squeamish and resentful to tend to his physical needs.  Nariman must now turn to his younger daughter, Roxana, her husband, Yezad, and their two sons, who share a small, crowded home. Their decision will test not only their material resources but, in surprising ways, all their tolerance, compassion, integrity, and faith. Sweeping and intimate, tragic and mirthful, Family Matters is a work of enormous emotional power.",500 pages,"{'Canada', 'Cultural', 'Fiction', 'Indian Literature', 'Asian Literature', 'India'}",
731,Loving What Is: Four Questions That Can Change Your Life,Sue Grafton,4.14,"16,177 ratings",9762,"Out of nowhere, like a breeze in a marketplace crowded with advice, comes Byron Katie and “The Work.” In the midst of a normal life, Katie became increasingly depressed, and over a ten-year period sank further into rage, despair, and thoughts of suicide. Then one morning, she woke up in a state of absolute joy, filled with the realization of how her own suffering had ended. The freedom of that realization has never left her, and now in Loving What Is you can discover the same freedom through The Work.  The Work is simply four questions that, when applied to a specific problem, enable you to see what is troubling you in an entirely different light. As Katie says, “It’s not the problem that causes our suffering; it’s our thinking about the problem.” Contrary to popular belief, trying to let go of a painful thought never works; instead, once we have done The Work, the thought lets go of us. At that point, we can truly love what is, just as it is.  Loving What Is will show you step-by-step, through clear and vivid examples, exactly how to use this revolutionary process for yourself. You’ll see people do The Work with Katie on a broad range of human problems, from a wife ready to leave her husband because he wants more sex, to a Manhattan worker paralyzed by fear of terrorism, to a woman suffering over a death in her family. Many people have discovered The Work’s power to solve problems; in addition, they say that through The Work they experience a sense of lasting peace and find the clarity and energy to act, even in situations that had previously seemed impossible.  If you continue to do The Work, you may discover, as many people have, that the questioning flows into every aspect of your life, effortlessly undoing the stressful thoughts that keep you from experiencing peace. Loving What Is offers everything you need to learn and live this remarkable process, and to find happiness as what Katie calls “a lover of reality.”",352 pages,"{'Psychology', 'Spirituality', 'Self Help', 'Nonfiction', 'Personal Development'}",
732,"The Vampire Prince (Cirque Du Freak, #6)",Rohinton Mistry,4.23,"25,489 ratings",8968,"Branded a traitor, betrayed by a friend, hunted by the vampire clan-Darren Shan, the Vampire's Assistant, faces certain death. Can Darren reverse the odds and outwit a Vampire Prince? Darren's initiation on Vampire Mountain draws to a stunning, bloody conclusion-but the Saga contin",192 pages,"{'Fantasy', 'Paranormal', 'Horror', 'Vampires', 'Young Adult'}",
733,Naked Economics: Undressing the Dismal Science,Byron Katie,4.03,"13,949 ratings",40180021,"At last! A new edition of the economics book that won’t put you to sleep. In fact, you won’t be able to put this bestseller down. In our challenging economic climate, this perennial favorite of students and general readers is more than a good read, it’s a necessary investment—with a blessedly sure rate of return. This revised and updated edition includes commentary on hot topics such as automation, trade, income inequality, and America’s rising debt. Ten years after the financial crisis, Naked Economics examines how policymakers managed the worst economic crisis since the Great Depression.   Demystifying buzzwords, laying bare the truths behind oft-quoted numbers, and answering the questions you were always too embarrassed to ask, the breezy Naked Economics gives you the tools to engage with pleasure and confidence in the deeply relevant, not so dismal science.",400 pages,"{'Unfinished', 'Money', 'Science', 'School', 'Social Science', 'Business', 'Economics', 'Currency', 'Finance', 'Nonfiction', 'Academic', 'Politics'}",
734,The Days of Abandonment,Darren Shan,3.87,"16,925 ratings",77810,"A national bestseller for almost an entire year, The Days of Abandonment shocked and captivated its Italian public when first published. It is the gripping story of a woman's descent into devastating emptiness after being abandoned by her husband with two young children to care for. When she finds herself literally trapped within the four walls of their high-rise apartment, she is forced to confront her ghosts, the potential loss of her own identity, and the possibility that life may never return to normal.",188 pages,"{'Italian Literature', 'Novels', 'Cultural', 'Contemporary', 'Literary Fiction', 'Fiction', 'Italy', 'European Literature'}",
735,"Purity in Death (In Death, #15)",Charles Wheelan,4.34,"23,316 ratings",238137,"Louie Cogburn had spent three days holed up in his apartment, staring at his computer screen. His pounding headache was unbearable - it felt like spikes drilling into his brain. And it was getting worse. Finally, when someone knocked at his door, Louie picked up a baseball bat, opened up the door, and started swinging....  The first cop on the scene fired his stunner twice. Louie died instantly. Detective Eve Dallas has taken over the investigation, but there's nothing to explain the man's sudden rage or death. The only clue is a bizarre message left on his computer screen: ABSOLUTE PURITY ACHIEVED And when a second man dies under near-identical circumstances, Eve starts racking her brain for answers and the courage to face the impossible...that this might be a computer virus able to spread from machine to man....",355 pages,"{'Mystery', 'Crime', 'Fiction', 'Romance'}",
736,"Molly Moon's Incredible Book of Hypnotism (Molly Moon, #1)",Elena Ferrante,3.88,"21,495 ratings",807968,"Welcome to the Wonderful World of Hypnotism  Molly Moon is no ordinary orphan. When she finds a mysterious old book on hypnotism, she discovers she can make people do whatever she wants. But a sinister stranger is watching her every move and he'll do anything to steal her hypnotic se",371 pages,"{'Fiction', 'Middle Grade', 'Fantasy', 'Childrens'}",
737,"Reunion in Death (In Death, #14)",J.D. Robb,4.35,"23,152 ratings",238140,"A birthday bash sets the scene for a frightening reunion with a killer from Eve Dallas's past. At exactly 7:30 p.m., Walter Pettibone arrived home to over a hundred friends and family shouting, surprise! It was his birthday. Although he had known about the planned event for weeks, the real surprise was yet to come. At 8:45 p.m., a woman with emerald eyes and red hair handed him a glass of champagne. One sip of birthday bubbly, and he was dead. The woman's name is Julie Dockport. No one at the party knew who she was. But Detective Eve Dallas remembers her all too well. Eve was personally responsible for her incarceration nearly ten years ago. And now, let out on good behavior, she still has nothing but bad intentions. It appears she wants to meet Dallas again -- in a reunion neither will forget.",371 pages,"{'Mystery', 'Crime', 'Fiction', 'Romance'}",
738,"The Remnant (Left Behind, #10)",Georgia Byng,4.02,"21,845 ratings",27530,"Shows some signs of wear, and may have some markings on the inside. 100% Money Back Gua",432 pages,"{'Fiction', 'Christian', 'Christian Fiction'}",
739,Coraline,J.D. Robb,3.97,"19,658 ratings",1967070,"When Coraline steps through a door in her family's new house, she finds another house, strangely similar to her own (only better). At first, things seem marvelous. The food is better than at home, and the toy box is filled with fluttering wind-up angels and dinosaur skulls that crawl and rattle their teeth.  But there's another mother there and another father, and they want her to stay and be their little girl. They want to change her and never let her go. Coraline will have to fight with all her wit and all the tools she can find if she is to save herself and return to her ordinary life.  This beloved tale has now become a visual feast. Acclaimed artist P. Craig Russell brings Neil Gaiman's enchanting nationally bestselling children's book Coraline to new life in this gorgeously illustrated graphic novel adaptation",192 pages,"{'Fantasy', 'Horror', 'Young Adult', 'Fiction', 'Sequential Art', 'Graphic Novels', 'Comics'}",Hardcover
740,Lucky Man,Tim LaHaye,4.07,"20,172 ratings",133729,"In September 1998, Michael J. Fox stunned the world by announcing he had been diagnosed with Parkinson's disease -- a degenerative neurological condition. In fact, he had been secretly fighting it for seven years. The worldwide response was staggering. Fortunately, he had accepted the diagnosis and by the time the public started grieving for him, he had stopped grieving for himself. Now, with the same passion, humor, and energy that Fox has invested in his dozens of performances over the last 18 years, he tells the story of his life, his career, and his campaign to find a cure for Parkinson's.  Combining his trademark ironic sensibility and keen sense of the absurd, he recounts his life -- from his childhood in a small town in western Canada to his meteoric rise in film and television which made him a worldwide celebrity. Most importantly however, he writes of the last 10 years, during which -- with the unswerving support of his wife, family, and friends -- he has dealt with his illness. He talks about what Parkinson's has given him: the chance to appreciate a wonderful life and career, and the opportunity to help search for a cure and spread public awareness of the disease. He is a very lucky man, indeed.",260 pages,"{'Biography', 'Biography Memoir', 'Memoir', 'Nonfiction', 'Autobiography'}",
741,"Among the Betrayed (Shadow Children, #3)",P. Craig Russell,4.07,"23,069 ratings",303460,"""Everything that had happened to Nina was real. She had real handcuffs on her wrists, real scars on her back, real fear flooding her mind. ""'They're going to kill me,' Nina whispered, and it was almost a relief to finally, finally give up hope."" In a society that allows no more than two children per family under penalty of death, third children are forced into hiding, or to live with false identity papers. In Among the Impostors, Nina Idi was arrested for treason for supposedly trying to trick the Population Police into arresting other students she said were illegal third children. Now she faces torture or death -- unless she agrees to betray three other imprisoned third children. Her dilemma intensifies when she meets the prisoners -- who are only ten, nine, and six. As she did so brilliantly in the Publishers Weekly best-selling Among the Hidden and in Among the Impostors, Margaret Peterson Haddix once again brings readers to a world in which nothing is as it seems -- a world in which an imprisonment leads to an adventure of mind, body, and spirit.",160 pages,"{'Fiction', 'Science Fiction', 'Young Adult', 'Dystopia'}",Hardcover
742,"Hunters of the Dusk (Cirque Du Freak, #7)",(Adaptor/Illustrator),4.17,"23,278 ratings",8963,"The pursuit begins....Darren Shan, the Vampire Prince, leaves Vampire Mountain on a life or death mission. As part of an elite force, Darren searches the world for the Vampaneze Lord. But the road ahead is long and dangerous-and lined with the bodies of the",208 pages,"{'Fantasy', 'Paranormal', 'Horror', 'Vampires', 'Young Adult'}",
743,Oscar et la dame rose,Michael J. Fox,4.22,"24,425 ratings",120461,"Oscar is dying. One of the 'ladies in pink' who come to visit the patients, makes friends with him. She suggests that he should pretend that each of the following 12 days is a decade of his imaginary life. Oscar writes ten letters to God that are sensitive, funny, heartbreaking and, ultimately, life-aff",100 pages,"{'Read For School', 'School', 'Novels', 'Cultural', 'Contemporary', 'Literature', 'Classics', 'Fiction', 'France', 'Academic', 'European Literature', 'French Literature', 'Childrens'}",
744,"Dancing in My Nuddy-Pants (Confessions of Georgia Nicolson, #4)",Margaret Peterson Haddix,4.01,"21,941 ratings",402015,"Since Georgia's been dating the yummy scrumboes Sex God, Robbie, her glossy lips are always at the ready, and her ""red-bottomosity"" is kept under wraps. Along with Naomi the Sex Kitten's new litter (thank you, Angus), Robbie's announcement that his band will be traveling to Hamburger-a-gogo land (Georgia can only hope to go with), and a class trip to France, Georgia is one camper in a state of teenage splendiosity. The small trouble is, Georgia also wonders if Dave the Laugh might still be the guy for her, and when Robbie gives a surprise-ending twist to his travel plans, she gets a ""weird feeling of reliefosity"" that makes her wonder if she must venture out and bravely use her ""red bottom wisely.""   Another first-rate entry in the diary tales of Georgia, Nuddy-Pants will keep fans panting for more. While Rennison hasn't provided any earth-shattering events in her heroine's life, this book shows Georgia's true nuddy-pants personality to be just as funny as ever. With plenty of juicy hints at what's to come, this laugh-out-loud read is one not to miss. Shana Taylor",214 pages,"{'Humor', 'Romance', 'Chick Lit', 'Fiction', 'Young Adult', 'Womens Fiction'}",Hardcover
745,Bear Snores On,Darren Shan,4.26,"27,761 ratings",867248,"One by one, a whole host of different animals and birds find their way out of the cold and into Bear's cave to warm up. But even after the tea has been brewed and the corn has been popped, Bear just snores on! See what happens when he finally wakes up and finds his cave full of uninvited guests -- all of them having a party witho",34 pages,"{'Animals', 'Picture Books', 'Childrens'}",Hardcover
746,Sea Glass,Éric-Emmanuel Schmitt,3.67,"23,558 ratings",96081,"In the textile-manufacturing region of New Hampshire in 1929, newlyweds Honora and Sexton Beecher wrestle with all the wonders and challenges that young couples have always faced. They've just purchased a house near the ocean that needs a lot of work, but the couple is dedicated to making it a home. When the economy fails and a single unscrupulous act perpetrated by Sexton is revealed, more than love will be required to keep the marriage from collapsing under the weight of this betrayal. Sexton -- formerly a traveling salesman -- is forced to take a job at the local mill alongside other men, women, and children whose very survival is being threatened by the harsh burden of their daily toil. Repeated pay cuts and inhumane conditions propel the workers closer to a potentially violent clash with management and union breakers. Alliances are formed, honor is challenged, and character flaws become fatal as the tinderbox explodes, leaving old bonds broken and new ones bolstered.  Momentum builds steadily in this beautifully developed story, unfettered by needless machinations. Shreve deftly weaves the lives of a diverse collection of characters into a tapestry that is rich with the complete range of human emotion and lush with tactile nuance. (Ann Kashickey)",374 pages,"{'Historical Fiction', 'Chick Lit', 'Historical', 'Fiction', 'Womens Fiction'}",
747,The Idiot Girls' Action-Adventure Club: True Tales from a Magnificent and Clumsy Life,Louise Rennison,3.88,"17,221 ratings",41017597,"Introducing Laurie Notaro, the leader of the Idiot Girls’ Action-Adventure Club. Every day she fearlessly rises from bed to defeat the evil machinations of dolts, dimwits, and creepy boyfriends—and that’s before she even puts on a bra. For the past ten years, Notaro has been entertaining Phoenix newspaper readers with her wildly amusing autobiographical exploits and unique life experiences. She writes about a world of hourly-wage jobs that require absolutely no skills, a mother who hands down judgments more forcefully than anyone seated on the Supreme Court, horrific high school reunions, and hangovers that leave her surprised that she woke up in the first place. The misadventures of Laurie and her fellow Idiot Girls (“too cool to be in the Smart Group”) unfold in a world that everyone will recognize but no one has ever described so hilariously. She delivers the goods: life as we all know it.",240 pages,"{'Essays', 'Humor', 'Chick Lit', 'Memoir', 'Nonfiction', 'Autobiography', 'Womens Fiction', 'Writing'}",
748,The Minority Report,Karma Wilson,3.83,"16,304 ratings",581125,"In the world of The Minority Report, Commissioner John Anderton is the one to thank for the lack of crime. He is the originator of the Precrime System, which uses precogs--people with the power to see into the future--to identify criminals before they can do any harm. Unfortunately for Anderton, his precogs perceive him as the next cr",103 pages,"{'Short Stories', 'Science Fiction', 'Fiction', 'Dystopia'}",Hardcover
749,"Allies of the Night (Cirque du Freak, #8)",Anita Shreve,4.19,"22,447 ratings",8966,"Darren Shan, Vampire Prince and ""vampaneze"" killer, faces his worst nightmare yet--school. But homework is the least of Darren's problems. Bodies are piling up. Time is running out. And the past is catching up with the hunter",209 pages,"{'Fantasy', 'Paranormal', 'Horror', 'Vampires', 'Young Adult'}",
750,Holy Cow: An Indian Adventure,Laurie Notaro,3.53,"15,905 ratings",3858,"In her twenties, journalist Sarah Macdonald backpacked around India and came away with a lasting impression of heat, pollution and poverty. So when an airport beggar read her palm and told her she would return to India—and for love—she screamed, “Never!” and gave the country, and him, the finger.  But eleven years later, the prophecy comes true. When the love of Sarah’s life is posted to India, she quits her dream job to move to the most polluted city on earth, New Delhi. For Sarah this seems like the ultimate sacrifice for love, and it almost kills her, literally. Just settled, she falls dangerously ill with double pneumonia, an experience that compels her to face some serious questions about her own fragile mortality and inner spiritual void. “I must find peace in the only place possible in India,” she concludes. “Within.” Thus begins her journey of discovery through India in search of the meaning of life and death.  Holy Cow is Macdonald’s often hilarious chronicle of her adventures in a land of chaos and contradiction, of encounters with Hinduism, Islam and Jainism, Sufis, Sikhs, Parsis and Christians and a kaleidoscope of yogis, swamis and Bollywood stars. From spiritual retreats and crumbling nirvanas to war zones and New Delhi nightclubs, it is a journey that only a woman on a mission to save her soul, her love life—and her sanity—can survive.",304 pages,"{'Biography', 'Travel', 'Cultural', 'Memoir', 'Nonfiction', 'Autobiography', 'India'}",
751,By the Light of the Moon,Philip K. Dick,3.86,"22,100 ratings",15752,"Dean Koontz has surpassed his longtime reputation as “America’s most popular suspense novelist”(Rolling Stone) to become one of the most celebrated and successful writers of our time. Reviewers hail his boundless originality, his art, his unparalleled ability to create highly textured, riveting drama, at once viscerally familiar and utterly unique.  Author of one #1 New York Times bestseller after another, Koontz is at the pinnacle of his powers, spinning mysteries and miracles, enthralling tales that speak directly to today’s readers, balm for the heart and fire for the mind. In this stunning new novel, he delivers a tour de force of dark suspense and brilliant revelation that has all the Koontz trademarks: adventure, chills, riddles, humor, heartbreak, an unforgettable cast of characters, and a climax that will leave you clamoring for more.  Dylan O’Connor is a gifted young artist just trying to do the right thing in life. He’s on his way to an arts festival in Santa Fe when he stops to get a room for himself and his twenty-year-old autistic brother, Shep. But in a nightmarish instant, Dylan is attacked by a mysterious “doctor,” injected with a strange substance, and told that he is now a carrier of something that will either kill him...or transform his life in the most remarkable way. Then he is told that he must flee--before the doctor’s enemies hunt him down for the secret circulating through his body. No one can help him, the doctor says, not even the police.  Stunned, disbelieving, Dylan is turned loose to run for his life...and straight into an adventure that will turn the next twenty-four hours into an odyssey of terror, mystery--and wondrous discovery. It is a journey that begins when Dylan and Shep’s path intersects with that of Jillian Jackson. Before that evening Jilly was a beautiful comedian whose biggest worry was whether she would ever find a decent man. Now she too is a carrier. And even as Dylan tries to convince her that they’ll be safer sticking together, cold-eyed men in a threatening pack of black Suburbans approach, only seconds before Jilly’s classic Coupe DeVille explodes into thin air.  Now the three are on the run together, but with no idea whom they’re running from--or why. Meanwhile Shep has begun exhibiting increasingly disturbing behavior. And whatever it is that’s coursing through their bodies seems to have plunged them into one waking nightmare after another. Seized by sinister premonitions, they find themselves inexplicably drawn to crime scenes--just minutes before the crimes take place.  What this unfathomable power is, how they can use it to stop the evil erupting all around them, and why they have been chosen are only parts of a puzzle that reaches back into the tragic past and the dark secrets they all share: secrets of madness, pain, and untimely death. Perhaps the answer lies in the eerie, enigmatic messages that Shep, with precious time running out, begins to repeat, about an entity who does his work “by the light of the moon.”  By the Light of the Moon is a novel of heart-stopping suspense and transcendent beauty, of how evil can destroy us and love can redeem us--a masterwork of the imagination in which the surprises come page after page and the spell of sublime storytelling triumphs throughout.   From the Hardcover edition.",460 pages,"{'Thriller', 'Horror', 'Fiction'}",
752,"Once Upon a Marigold (Upon a Marigold, #1)",Darren Shan,3.99,"23,380 ratings",157055,"Christian is gaga for Princess Marigold. But he's just a commoner, and no match for royalty. Heck, he lives in a cave with a troll! And now he's discovered another reason to put his love-soggy heart on ice: Queen Olympia is scheming to take over the kingdom--and she'll bump off her own daughter to do it. Can Christian foil her diabolical",271 pages,"{'Middle Grade', 'Fantasy', 'Romance', 'Fairy Tales', 'Young Adult', 'Fiction', 'Childrens'}",
753,"You Know You Love Me (Gossip Girl, #2)",Sarah Macdonald,3.52,"20,376 ratings",37451,"In You Know You Love Me , the sequel to Gossip Girl, it's brunette vixen Blair Waldorf's seventeenth birthday, and she knows exactly what she wants— Nate, her studly troubles boyfriend of three years. But Blair's been too busy filling out Ivy League college applications to notice that Nate has found himself another pl",240 pages,"{'Chick Lit', 'Contemporary', 'Fiction', 'Young Adult', 'Womens Fiction'}",
754,"The Gates of Rome (Emperor, #1)",Dean Koontz,4.18,"20,343 ratings",330947,"Rarely, if ever, does a new writer dazzle us with such a vivid imagination and storytelling, flawlessly capturing the essence of a land, a people, a legend. Conn Iggulden is just such a writer, bringing to vivid life one of the most fascinating eras in human history. In a true masterpiece of historical fiction, Iggulden takes us on a breathtaking journey through ancient Rome, sweeping us into a realm of tyrants and slaves, of dark intrigues and seething passions. What emerges is both a grand romantic tale of coming-of-age in the Roman Empire and a vibrant portrait of the early years of a man who would become the most powerful ruler on earth: Julius Caesar. On the lush Italian peninsula, a new empire is taking shape. At its heart is the city of Rome, a place of glory and decadence, beauty and bloodshed. Against this vivid backdrop, two boys are growing to manhood, dreaming of battles, fame, and glory in service of the mightiest empire the world has ever known. One is the son of a senator, a boy of privilege and ambition to whom much has been given and from whom much is expected. The other is a bastard child, a boy of strength and cunning, whose love for his adoptive family-and his adoptive brother-will be the most powerful force in his life. As young Gaius and Marcus are trained in the art of combat-under the tutelage of one of Rome's most fearsome gladiators-Rome itself is being rocked by the art of treachery and ambition, caught in a tug-of-war as two rival generals, Marius and Sulla, push the empire toward civil war. For Marcus, a bloody campaign in Greece will become a young soldier's proving ground. For Gaius, the equally deadly infighting of the Roman Senate will be the battlefield where he hones his courage and skill. And for both, the love of an extraordinary slave girl will be an honor each will covet but only one will win. The two friends are forced to walk different paths, and by the time they meet again everything will have changed. Both will have known love, loss, and violence. And the land where they were once innocent will be thrust into the grip of bitter conflict-a conflict that will set Roman against Roman...and put their friendship to the ultimate test. Brilliantly interweaving history and adventure, Conn Iggulden conjures a stunning array of contrasts-from the bloody stench of a battlefield to the opulence of the greatest city in history, from the tenderness of a lover to the treachery of an assassin. Superbly rendered, grippingly told, Emperor, The Gates of Rome is a work of vaulting imagination from a powerful new voice in historical fiction. ""From the Hardcover edition.""",448 pages,"{'Historical Fiction', 'Historical', 'Fiction'}",
755,The Book of Illusions,Jean Ferris,3.85,"20,419 ratings",50618,"Six months after losing his wife and two young sons, Vermont Professor David Zimmer spends his waking hours mired in a blur of alcoholic grief and self-pity. Then one night, he stumbles upon a clip from a lost film by silent comedian Hector Mann. His interest is piqued, and he soon finds himself embarking on a journey around the world to research a book on this mysterious figure, who vanished from sight back in 1929.  When the book is published the following year, a letter turns up in Zimmer’s mailbox bearing a return address from a small town in New Mexico inviting him to meet Hector. Zimmer hesitates, until one night a strange woman appears on his doorstep and makes the decision for him, changing his life forever.",288 pages,"{'Contemporary', 'Fiction', 'Mystery', 'Literature', 'American'}",
756,"An Army at Dawn: The War in North Africa, 1942-1943 (World War II Liberation Trilogy, #1)",Cecily von Ziegesar,4.26,"15,126 ratings",541920,"WINNER OF THE PULITZER PRIZE AND NEW YORK TIMES BESTSELLER In the first volume of his monumental trilogy about the liberation of Europe in WW II, Pulitzer Prize winner Rick Atkinson tells the riveting story of the war in North Africa The liberation of Europe and the destruction of the Third Reich is a story of courage and enduring triumph, of calamity and miscalculation. In this first volume of the Liberation Trilogy, Rick Atkinson shows why no modern reader can understand the ultimate victory of the Allied powers without a grasp of the great drama that unfolded in North Africa in 1942 and 1943. That first year of the Allied war was a pivotal point in American history, the moment when the United States began to act like a great power.  Beginning with the daring amphibious invasion in November 1942, An Army at Dawn follows the American and British armies as they fight the French in Morocco and Algeria, and then take on the Germans and Italians in Tunisia. Battle by battle, an inexperienced and sometimes poorly led army gradually becomes a superb fighting force. Central to the tale are the extraordinary but fallible commanders who come to dominate the battlefield: Eisenhower, Patton, Bradley, Montgomery, and Rommel.  Brilliantly researched, rich with new material and vivid insights, Atkinson's narrative provides the definitive history of the war in North Africa.",704 pages,"{'History', 'Military Fiction', 'Military History', 'War', 'Military', 'Nonfiction', 'World War II'}",Hardcover
757,When the Emperor Was Divine,Conn Iggulden,3.73,"16,347 ratings",764073,"Julie Otsuka's commanding debut novel paints a portrait of the Japanese internment camps unlike any we have ever seen. With crystalline intensity and precision, Otsuka uses a single family to evoke the deracination ""both physical and emotional"" of a generation of Japanese Americans. In five chapters, each flawlessly executed from a different point of view ""the mother receiving the order to evacuate; the daughter on the long train ride to the camp; the son in the desert encampment; the family's return to their home; and the bitter release of the father after more than four years in captivity"" she has created a small tour de force, a novel of unrelenting economy and suppressed emotion. Spare, intimate, arrestingly understated, When the Emperor Was Divine is a haunting evocation of a family in wartime and an unmistakably resonant lesson for our times. It heralds the arrival of a singularly gifted new novelist.  From the Hardcover edition.",144 pages,"{'Historical Fiction', 'Cultural', 'Historical', 'War', 'Fiction', 'Japan', 'World War II'}",
