,titles,authors,ratings,num_ratings,id,img,description,pages,genre,format
5249,Aloma,Felipe Alfau,3.57,973,1908374,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1416505172l/1908374.jpg, ,,set(),
5250,قصة الفلسفة الحديثة,Alan W. Watts,4.15,150,11196734,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329350186l/11196734.jpg, ,,set(),
5251,ধূসর পান্ডুলিপি,Mercè Rodoreda,4.50,178,17668082,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363964464l/17668082.jpg, ,,set(),
5252,Novel on Yellow Paper,زكي نجيب محمود,3.64,349,408704,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347722652l/408704.jpg, ,,set(),
5253,A Diary of Private Prayer,Jibanananda Das,4.59,513,251125,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404092839l/251125.jpg, ,,set(),
5254,"A City of Bells (Torminster, #1)",Stevie Smith,4.22,591,1490695,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1259355495l/1490695.jpg, ,,set(),
5255,The Good Shepherd,John Baillie,3.92,684,139240,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1286977409l/139240.jpg, ,,set(),
5256,The Short Happy Life of Francis Macomber,Elizabeth Goudge,3.78,703,22051924,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447259399l/22051924._SX318_.jpg, ,,set(),
5257,Confession of a Murderer: Told in One Night,Gunnar Gunnarsson,3.63,615,57786,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340797398l/57786.jpg, ,,set(),
5258,The Substitute Guest,Ernest Hemingway,4.16,692,574038,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406510990l/574038.jpg, ,,set(),
5259,Cartea amăgirilor,Joseph Roth,4.25,501,4638377,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1292990661l/4638377.jpg, ,,set(),
5260,Под манастирската лоза,Grace Livingston Hill,4.30,853,6583215,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1269845103l/6583215.jpg, ,,set(),
5261,Man's Worldly Goods: The Story of the Wealth of Nations,Emil M. Cioran,4.23,541,467770,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348807509l/467770.jpg, ,,set(),
5262,Отнесени от вихъра - Първа книга,Elin Pelin,4.60,1048,17568542,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375639494l/17568542.jpg, ,,set(),
5263,"Turn, Magic Wheel",Leo Huberman,3.93,368,883193,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347775721l/883193.jpg, ,,set(),
5264,The Southern Gates of Arabia: A Journey in the Hadhramaut,Margaret Mitchell,4.01,210,108630,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320414657l/108630.jpg, ,,set(),
5265,The Fortunes of Captain Blood,Dawn Powell,4.12,575,405598,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420795423l/405598.jpg, ,,set(),
5266,The Cats of Copenhagen,Freya Stark,3.83,276,15767100,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578174434l/15767100._SX318_.jpg, ,,set(),
5267,Pejsek a kočička,Rafael Sabatini,4.38,837,7923252,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1269698564l/7923252.jpg, ,,set(),
5268,غاية الحياة,James Joyce,3.49,337,19199995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386226306l/19199995.jpg, ,,set(),
5269,Choo Choo,Josef Čapek,3.91,659,992960,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349017935l/992960.jpg,The adventures of a beautiful little locomotive who decided to run away from her humdrum,48 pages,"{'Transport', 'Childrens', 'Classics', 'Trains', 'Adventure', 'Picture Books', 'Railways', 'Fiction', 'Juvenile'}",
5270,The Thinking Reed,مي زيادة,3.56,140,1058030,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332461077l/1058030.jpg, ,,set(),
5271,The Rock Garden,Virginia Lee Burton,3.69,347,130120,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347971653l/130120.jpg, ,,set(),
5272,The Haunter of the Dark,Rebecca West,3.80,726,10190871,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453830128l/10190871.jpg, ,,set(),
5273,August Folly,Nikos Kazantzakis,3.88,571,835434,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570679383l/835434._SY475_.jpg, ,,set(),
5274,For My Legionaries,H.P. Lovecraft,4.14,275,3203449,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347218873l/3203449.jpg, ,,set(),
5275,Here Was a Man,Angela Thirkell,3.57,132,6449075,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368431572l/6449075.jpg, ,,set(),
5276,Spy Killer,Corneliu Zelea Codreanu,2.97,431,4773313,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328755012l/4773313.jpg, ,,set(),
5277,The Swedish Cavalier,Norah Lofts,4.14,461,750914,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451905929l/750914._SY475_.jpg, ,,set(),
5278,Murder in Piccadilly,L. Ron Hubbard,3.08,303,25323108,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428523937l/25323108.jpg, ,,set(),
5279,My Mother Gets Married,Leo Perutz,3.52,554,1632857,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328767330l/1632857.jpg, ,,set(),
5280,The Sea Of Grass,Charles Kingston,3.74,450,115482,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347302252l/115482.jpg, ,,set(),
5281,"Beowulf and the Critics (Medieval & Renaissance Texts & Studies, Vol. 248)",Moa Martinson,4.11,336,23621,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387736891l/23621.jpg, ,,set(),
5282,The Tale of Custard the Dragon,Conrad Richter,4.19,505,352284,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388197292l/352284.jpg, ,,set(),
5283,The Sexual Revolution: Toward a Self-governing Character Structure,J.R.R. Tolkien,3.96,241,781664,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312006311l/781664.jpg, ,,set(),
5284,A Handbook to Literature,Ogden Nash,4.01,292,231356,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388466004l/231356.jpg, ,,set(),
5285,The Rebellion of the Hanged,Wilhelm Reich,4.11,493,57668,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347382070l/57668.jpg, ,,set(),
5286,Saint Joan of Arc,William Harmon,3.84,166,135229,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172059275l/135229.jpg, ,,set(),
5287,Wild Harbour,B. Traven,3.47,77,2025462,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1248529031l/2025462.jpg, ,,set(),
5288,El rayo que no cesa,Vita Sackville-West,4.18,490,1602162,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1246756376l/1602162.jpg, ,,set(),
5289,Man Makes Himself,Ian MacPherson,4.00 ,204,1659138,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348543894l/1659138.jpg, ,,set(),
5290,Poirot and the Regatta Mystery,Miguel Hernández,3.91,403,12877843,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328320129l/12877843.jpg, ,,set(),
5291,The Last Days,V. Gordon Childe,3.79,253,28372,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879870l/28372.jpg, ,,set(),
5292,Little Tim and the Brave Sea Captain,Agatha Christie,3.84,386,633028,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348214035l/633028.jpg, ,,set(),
5293,The Complete Rhyming Dictionary,Raymond Queneau,4.17,245,853232,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378035856l/853232.jpg,"This simple-to-use, exceptionally complete reference work has been updated, expanded and redesigned to meet the needs of today's most demanding wordsmiths. Included here are over 10,000 new entries--over 60,000 in all, sight, vowel, consonant, and one-, two-, and three-syllable",705 pages,"{'Writing', 'Music', 'Reference', 'Language', 'Poetry', 'Nonfiction'}",
5294,Death in the Tunnel,Edward Ardizzone,3.47,422,26077475,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452503219l/26077475._SY475_.jpg, ,,set(),
5295,The Exile,Clement Wood,3.96,302,426474,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1215379149l/426474.jpg, ,,set(),
5296,Katrina,Miles Burton,4.24,346,6907233,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509635206l/6907233.jpg, ,,set(),
5297,Island of the Mighty,Pearl S. Buck,4.16,287,168528,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266487354l/168528.jpg, ,,set(),
5298,The Paradoxes of Mr. Pond,Sally Salminen,3.87,321,1011931,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328867874l/1011931.jpg, ,,set(),
5299,The Book of Happiness,Evangeline Walton,3.51,242,371691,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348286449l/371691.jpg, ,,set(),
5300,April Gold,G.K. Chesterton,4.18,413,574071,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406514515l/574071.jpg, ,,set(),
5301,The Origins of Intelligence in Children,Nina Berberova,3.85,121,1728850,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266878714l/1728850.jpg,"This book deals with the origins of intelligence in children and contains original observations on young children, novel experiments, brilliant in their simplicity,which the author describes in detail. Piaget divides the growth of intelligence into six sequential stages: the use of reflexes; the first acquired adaptations and primary circular reaction; secondary circular reactions and the child's procedures for prolonging spectacles interesting to him.",418 pages,"{'Parenting', 'Psychology', 'Nonfiction', 'Education'}",
5302,Collected Poems of T.S. Eliot 1909-1935,Grace Livingston Hill,4.33,242,20520995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389564178l/20520995.jpg, ,,set(),
5303,Ang Huling Timawa,Jean Piaget,4.05,117,13408642,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326162945l/13408642.jpg,"Revolves around peasants' struggle for agrarian reform. Echoes class conflict between the masses and the elite, reflecting their respective sociopolitical views, beliefs, and decisions. Adeptly blends historical facts with fictional characters and scenes to expound author's vision of a free country.  Ang Aklat  Sinasalamin ng Ang Huling Timawa ang matagal nang usapin na bumabagabag sa hanay ng mga dukhang magbubukid: ang pagkakamit ng kahit munting pitak na lupain; ang pagsasaayos ng balikong sistemang agraryo sa kanayunan; ang paglaya sa bulok na politika na itataguyod ng mga maylupa laban sa mahihirap; ang pagpapanumbalik ng kapangyarihang mapagbuklod sa madla; at ang paghahanap ng liwanag na makapagbubukas ng isip at kalooban sa mamamayan. Sa panulat ni Servando de los Angeles, ang mikrokosmo ng Filipinas ay ipinamalas sa isang lalawigan at itinanghal ang mga pananalig at pilosopiya sa buhay na dapat angkinin ng sinumang Filipino.  Ang Nobelista  Si Servando de los Angeles ay isa sa mga manunulat na Tagalog na itinuturing na nagpamukadkad ng realism sa nobelang Filipino. Hinubog ang kaniyang isipan ng Ateneo Municipal de Manila at Liceo de Manila at nagpakadalubhasa sa parmasya. Naging manunulat at editor siya ng sarisaring babasahin gaya ng La Patria, Watawat, at Lingguhang Kalayaan.  Si De los Angeles ay autor din ng mga sarsuwelang itinuturing ngayong klasiko, gaya ng Ang Kiri at Bituing Marikit na pawing pinagganapan ni Atang de la Rama. Ang iba pa niyang sarsuwela gaya ng Alamat ng Nayon at Ararong Ginto ay bumihag din sa pansin ng madla at nagluwal sa kaniya bilang pangunahing manunulat, kritiko, at tagasubaybay ng kaniyang panahon.",474 pages,set(),
5304,The Trouble I've Seen,T.S. Eliot,4.28,109,12606203,, ,,set(),
5305,Fighting Angel,Servando de los Angeles,3.62,272,1057071,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397489097l/1057071.jpg, ,,set(),
5306,The Cat and the Devil,Martha Gellhorn,3.80,254,1980942,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388784704l/1980942.jpg, ,,set(),
5307,The Goat-Foot God,Pearl S. Buck,4.09,270,211746,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348281209l/211746.jpg, ,,set(),
5308,Ringen sluttet,James Joyce,3.94,344,2527895,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501176474l/2527895._SX318_.jpg,"Tittelen på Hamsuns siste roman, «Ringen sluttet» (1936), kan tolkes dithen at han mente forfatterskapet på et vis ble fullført og fullendt med dette verket. Forholdet individ-samfunn står sentralt både i gjennombruddsboken «Sult» (1890) og her. Men mens «Sult»-jeget hadde et ønske om å bli godtatt sosialt, har Abel, som er helt uten sosiale ambisjoner, en annen «overlevelses»-strategi. Skal det trekkes en utviklingslinje gjennom Hamsuns forfatterskap fra «Sult» til «Ringen sluttet» - slik det kan se ut som forfatteren legger opp til - går linjen fra ambisjon til resignasjon.",332 pages,"{'Classics', 'Scandinavian Literature', 'Fiction', 'European Literature', 'Literature', 'Nobel Prize', 'Novels'}",Hardcover
5309,Schimbarea la față a României,Dion Fortune,3.91,323,594079,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322079404l/594079.jpg, ,,set(),
5310,The Ship,Knut Hamsun,4.12,112,2782549,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1215358314l/2782549.jpg, ,,set(),
5311,"Halfway House (Ellery Queen Detective, #11)",Emil M. Cioran,3.70,314,3357132,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439327446l/3357132._SY475_.jpg, ,,set(),
5312,Cuatro corazones con freno y marcha atrás,Hans Henny Jahnn,3.58,417,1825372,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1188865720l/1825372._SY475_.jpg, ,,set(),
5313,الثورة الوهابية,Ellery Queen,2.69,109,9966952,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1292847874l/9966952.jpg, ,,set(),
5314,On Another Man's Wound,Enrique Jardiel Poncela,4.32,194,1097109,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347230419l/1097109.jpg, ,,set(),
5315,Nachlaß zu Lebzeiten,عبد الله القصيمي,4.09,273,191941,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328827599l/191941.jpg, ,,set(),
5316,"Thou Shell of Death (Nigel Strangeways, #2)",Ernie O'Malley,3.84,280,1909418,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378439051l/1909418.jpg, ,,set(),
5317,Joseph in Egypt,Robert Musil,4.22,180,1568717,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570781147l/1568717._SX318_.jpg, ,,set(),
5318,The New House,Nicholas Blake,4.09,164,1786581,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322745994l/1786581.jpg, ,,set(),
5319,Akdeniz,Thomas Mann,3.80,285,10284670,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560767738l/10284670.jpg, ,,set(),
5320,Peig: The Autobiography of Peig Sayers of the Great Blasket Island,Lettice Cooper,3.52,249,684844,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387716959l/684844.jpg, ,,set(),
5321,The Crime Wave at Blandings,Panaït Istrati,4.29,276,10533446,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328035267l/10533446.jpg, ,,set(),
5322,Jo Returns to the Chalet School,Peig Sayers,4.16,324,1084278,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327176134l/1084278.jpg,"Having left school the term before, an unfortunate chain of events finds Joey, having returned to school for a visit, unable to return to her sister's home Die Rosen. Joey settles down to enjoy her extended visit, but finds her stay becoming longer as time goes on.  Somewhat unwillingly to begin with, Jo is pressed into service as a stand-in mistress when one of the staff falls ill. However, Joey comes to terms with the situation and the girls are delighted to have their beloved Jo returned to them for a while.  Joey manages to complete her first novel in her free time, after a false start when she is put straight by an unexpected critic, and nervously sends it to a publisher.  She is also instrumental in obtaining a new girl, Polly Herriot, for the Chalet School after a chance encounter in the Post. Having never been to school before, Polly's education has been with very old-fashioned methods, and she requires intensive tuition to bring her education up to date. She has also obtained some very unusual ideas about the life of a schoolgirl, from the school stories, which she was so fond of, before she arrived at the Chalet School. This leads to some unfortunate incidents, before she settles into the role of a true Chalet School girl.  The term has its low points when the girls' beloved headmistress is taken seriously ill, but finishes on a high note with the customary Christmas play.",160 pages,"{'School Stories', 'Childrens', 'Academic', 'Fiction', 'School'}",
5323,Bookshop Memories,P.G. Wodehouse,3.86,101,20681099,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444423787l/20681099._SY475_.jpg, ,,set(),
5324,Pioneers of Modern Design: From William Morris to Walter Gropius,Elinor M. Brent-Dyer,3.80,187,950245,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356455943l/950245.jpg, ,,set(),
5325,Thumbprint,George Orwell,3.76,251,852257,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354903490l/852257.jpg, ,,set(),
5326,The Snows of Kilimanjaro/The Short Happy Life of Francis Macomber,Nikolaus Pevsner,3.89,355,635641,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1176568861l/635641.jpg, ,,set(),
5327,Manners Can Be Fun,Friedrich Glauser,4.17,259,293872,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312036336l/293872.jpg, ,,set(),
5328,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.27,2615107,5907,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216l/5907.jpg, ,,set(),
5329,Of Mice and Men,John Steinbeck,3.86,1785026,890,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904l/890._SX318_.jpg, ,,set(),
5330,Their Eyes Were Watching God,Zora Neale Hurston,3.91,238587,37415,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368072803l/37415.jpg, ,,set(),
5331,Think and Grow Rich,Napoleon Hill,4.18,173878,30186948,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463241782l/30186948._SY475_.jpg, ,,set(),
5332,"The Hobbit, Part One",J.R.R. Tolkien,4.26,231103,17157681,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1371834025l/17157681.jpg, ,,set(),
5333,"Death on the Nile (Hercule Poirot, #17)",Agatha Christie,4.10,102384,131359,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486837149l/131359._SY475_.jpg, ,,set(),
5334,"On the Banks of Plum Creek (Little House, #4)",Laura Ingalls Wilder,4.20,87414,7882,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266449569l/7882.jpg, ,,set(),
5335,Out of Africa,Isak Dinesen,3.96,31363,781787,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1178296503l/781787._SY475_.jpg,"Out of Africa is Isak Dinesen's memoir of her years in Africa, from 1914 to 1931, on a four-thousand-acre coffee plantation in the hills near Nairobi. She had come to Kenya from Denmark with her husband, and when they separated she stayed on to manage the farm by herself, visited frequently by her lover, the big-game hunter Denys Finch-Hatton, for whom she would make up stories ""like Scheherazade."" In Africa, ""I learned how to tell tales,"" she recalled many years later. ""The natives have an ear still. I told stories constantly to them, all kinds."" Her account of her African adventures, written after she had lost her beloved farm and returned to Denmark, is that of a master storyteller, a woman whom John Updike called ""one of the most picturesque and flamboyant literary personalities of the century.""",399 pages,"{'Autobiography', 'Classics', 'Africa', 'Memoir', 'Biography', 'Cultural', 'Nonfiction'}",Hardcover
5336,Black Boy,Richard Wright,4.05,44987,228630,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440889513l/228630._SY475_.jpg, ,,set(),
5337,The Cost of Discipleship,Dietrich Bonhoeffer,4.29,31682,174834,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348281510l/174834.jpg,"One of the most important theologians of the twentieth century illuminates the relationship between ourselves and the teachings of Jesus in this classic text on ethics, humanism, and civic duty.  What can the call to discipleship, the adherence to the word of Jesus, mean today to the businessman, the soldier, the laborer, or the aristocrat? What did Jesus mean to say to us? What is his will for us today? Drawing on the Sermon on the Mount, Dietrich Bonhoeffer answers these timeless questions by providing a seminal reading of the dichotomy between ""cheap grace"" and ""costly grace."" ""Cheap grace,"" Bonhoeffer wrote, ""is the grace we bestow on ourselves...grace without discipleship....Costly grace is the gospel which must be sought again and again, the girl which must be asked for, the door at which a man must know....It is costly because it costs a man his life, and it is grace because it gives a man the only true life.""  The Cost of Discipleship is a compelling statement of the demands of sacrifice and ethical consistency from a man whose life and thought were exemplary articulations of a new type of leadership inspired by the Gospel, and imbued with the spirit of Christian humanism and a creative sense of civic duty.",320 pages,"{'Faith', 'Christian', 'Christian Living', 'Theology', 'Christianity', 'Religion', 'Nonfiction'}",
5338,To Have and Have Not,Ernest Hemingway,3.56,23381,4630,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523546270l/4630._SY475_.jpg, ,,set(),
5339,"Dumb Witness (Hercule Poirot, #16)",Agatha Christie,3.84,19465,16344,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295672288l/16344.jpg, ,,set(),
5340,The Road to Wigan Pier,George Orwell,3.90,13235,30553,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414451091l/30553.jpg, ,,set(),
5341,And to Think That I Saw It on Mulberry Street,Dr. Seuss,4.00 ,21353,28351,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389840830l/28351.jpg, ,,set(),
5342,"Murder in the Mews (Hercule Poirot, #18)",Agatha Christie,3.77,12840,121646,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328750158l/121646.jpg,"How did a woman holding a pistol in her right hand manage to shoot herself in the left temple? What was the link between a ghost sighting and the disappearance of top secert military plans? How did the bullet that killed Sir Gervase shatter a mirror in another part of the room? And who destroyed the `eternal triangle' of love involving renowned beauty, Valentine Chantry?   Hercule Poirot is faced with four mystifying cases - Murder in the Mews, The Incredible Theft, Dead Man's Mirror and Triangle at Rhodes - each a miniature classic of characterisation, incident and suspense.",0 pages,"{'Short Stories', 'Mystery', 'Crime', 'Fiction'}",
5343,Star Maker,Olaf Stapledon,3.93,6037,525304,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328048540l/525304.jpg, ,,set(),
5344,"Busman's Honeymoon (Lord Peter Wimsey, #13)",Dorothy L. Sayers,4.28,15739,116971,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431714605l/116971._SY475_.jpg, ,,set(),
5345,Kuyucaklı Yusuf,Sabahattin Ali,4.22,11304,1844941,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575585708l/1844941._SY475_.jpg, ,,set(),
5346,The Thing on the Doorstep and Other Weird Stories,H.P. Lovecraft,4.30,8744,564318,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327885492l/564318.jpg, ,,set(),
5347,Capitães da Areia,Jorge Amado,4.23,12959,723456,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1223478261l/723456.jpg, ,,set(),
5348,وحي القلم,مصطفى صادق الرافعي,4.34,4193,2932708,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393080774l/2932708.jpg,"كتاب وحي القلم عمل أدبي لمصطفى صادق الرافعي، ويعتبر من أجمل ما كتبه الرافعي، يتكون الكتاب من ثلاثة أجزاء هي عبارة عن مجموعة من مقالاته النقدية والإنشائية المستوحاة من الحياة الاجتماعية المعاصرة والقصص والتاريخ الإسلامي المتناثرة في العديد من الصحف والمجلات المصرية المشهورة في مطلع القرن الماضي مثل: الرسالة، وجريدة المؤيد والبلاغ والمقتطف والسياسة وغيرها. يجمع الكتاب كل خصائص الرافعي الأدبية متميزة بوضوح في أسلوبه, كذلك يجمع كل خصائصه العقلية والنفسية متميزة بوضوح في موضوعه, ففيه خلقه ودينه, وفيه شبابه وعاطفته, وفيه تزمته ووقاره, وفيه فكاهته ومرحه, وفيه غضبه وسخطه, فمن شاء أن يعرف الرافعي عرفان الرأي والفكرة والمعاشرة فليعرفه في هذا الكتاب.  بدأ الرافعي في كتابة هذه المقالات في عام 1934 كل أسبوع بصيغة مقالة أو قصة، ليتم نشرها أسبوعياً في مجلة الرسالة تناول الكتاب مواضيع اجتماعية وأخرى عن الوصف والحب، كما فيه مواضيع توضح ما التبس من حقائق الإسلام وآدابه وخلفياته وبعض جماليات القرآن ينتزع من الدنيا حقائقها، ويرسلها ضمن نصوص صيغت بصيغة القصة التي تنزع إلى لفت نظر القارئ إلى المغزى.",1050 pages,{'Literature'},Hardcover
5349,يوميات نائب في الأرياف,Tawfiq Al-Hakim,3.90,8052,3482579,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213872538l/3482579.jpg, ,,set(),
5350,Ferdydurke,Witold Gombrowicz,3.86,8954,15581,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388718190l/15581.jpg, ,,set(),
5351,Out of Africa / Shadows on the Grass,Isak Dinesen,4.24,10011,26474,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406934762l/26474.jpg, ,,set(),
5352,"The Whispering Statue (Nancy Drew Mystery Stories, #14)",Carolyn Keene,3.91,8476,846044,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459357017l/846044.jpg, ,,set(),
5353,"The Black Island (Tintin, #7)",Hergé,3.99,10125,191960,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327958349l/191960.jpg, ,,set(),
5354,Beat to Quarters,C.S. Forester,4.28,8998,84730,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479997649l/84730._SY475_.jpg, ,,set(),
5355,"The Haunted Bridge (Nancy Drew Mystery Stories, #15)",Carolyn Keene,3.92,7766,32982,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436910413l/32982.jpg, ,,set(),
5356,Jane of Lantern Hill,L.M. Montgomery,4.13,7120,149543,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435103595l/149543.jpg, ,,set(),
5357,Ali and Nino,Kurban Said,3.92,5433,474078,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320408457l/474078.jpg, ,,set(),
5358,Tenggelamnya Kapal Van Der Wijck,Hamka,4.19,4319,1307394,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468645608l/1307394.jpg, ,,set(),
5359,"The Broken Ear (Tintin, #6)",Hergé,3.88,8226,1169556,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344271239l/1169556.jpg, ,,set(),
5360,The Years,Virginia Woolf,3.77,3724,18852,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486619020l/18852._SY475_.jpg, ,,set(),
5361,The Ghost Stories of Edith Wharton,Edith Wharton,3.89,3204,2305,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386922125l/2305.jpg, ,,set(),
5362,The Citadel,A.J. Cronin,4.17,5862,634747,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347625044l/634747.jpg, ,,set(),
5363,Theatre,W. Somerset Maugham,4.14,5806,31326,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403185921l/31326.jpg, ,,set(),
5364,Journey by Moonlight,Antal Szerb,4.21,4280,158217,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563794508l/158217._SY475_.jpg, ,,set(),
