titles,authors,ratings,num_ratings,id,img,description,genre,format,page,isbn,au_ge,key_words,bow
Tales of Soldiers and Civilians and Other Stories,Ambrose Bierce,3.97,489 ratings,1084577,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348705100l/1084577.jpg,"Questing after Pancho Villa’s revolutionary forces, Ambrose Bierce rode into Mexico in 1913 and was never seen again. He left behind him theDevil’s Dictionary and a remarkable body of short fiction. This new collection gathers some of Bierce’s finest stories, including the celebrated Civil War fictions ‘An Occurrence at Owl Creek Bridge‘ and ‘Chickamauga‘, his macabre masterpieces ""The Damned Thing"" and ""Moxon's Master"", and his hilariously horrific ""Oil of Dog"" and ""My Favorite Murder"". --back cover  TABLE OF CONTENTS Introduction Suggestions for Further Reading A Note on the Text From In the Midst of Life Soldiers: A Horseman in the Sky An Occurrence at Owl Creek Bridge Chickamauga A Son of the Gods One of the Missing Killed at Resaca The Affair at Coulter’s Notch The Coup de Grâce Parker Adderson, Philosopher An Affair of Outposts The Story of a Conscience One Kind of Officer The Mocking-Bird  Civilians: The Man Out of the Nose The Man and the Snake The Boarded Window From Can Such Things Be? Can Such Things Be?: Moxon’s Master A Tough Tussle A Resumed Identity The Night-Doings at “Deadman’s” The Realm of the Unreal The Damned Thing Haïta the Shepherd  The Ways of Ghosts: Present at a Hanging A Wireless Message  Soldier Folk: Three and One Are One From Negligible Tales Negligible Tales: A Bottomless Grave Jupiter Doke, Brigadier-General The City of the Gone Away The Major’s Tale Curried Cow A Revolt of the Gods  The Parenticide Club: My Favorite Murder Oil of Dog From Antepenultimata A Bivouac of the Dead From The Opinionator The Controversialist: The Short Story  Explanatory Notes Glossary of Military Terms Battle Sites and Battle Leaders","Short Stories, Fiction, Classics, Horror, War, Literature",paperback,304.0,9780140437560.0,ambrosebierce shortstories fiction classics horror war literature,affair story horseman boarded window hanging night doings dog city occurrence finest stories including moxon ’ coulter outposts life soldiers conscience one kind hilariously horrific oil pancho villa celebrated civil war fictions ‘ tale curried cow short fiction resaca sky coup de grâce parker adderson philosopher master favorite murder back cover table bottomless grave jupiter doke brigadier general midst chickamauga major owl creek bridge never seen ghosts present ways damned thing haïta deadman revolutionary forces ambrose bierce rode parenticide club officer unreal gods questing antepenultimata battle leaders tough tussle nose missing killed reading man opinionator revolt notch dictionary contents introduction suggestions explanatory notes glossary snake text shepherd note mocking bird civilians new collection gathers dead moxons resumed identity remarkable body mexico thedevil bivouac son macabre masterpieces things military terms sites negligible tales wireless message soldier folk three gone away realm controversialist left behind,ambrosebierce shortstories fiction classics horror war literature affair story horseman boarded window hanging night doings dog city occurrence finest stories including moxon ’ coulter outposts life soldiers conscience one kind hilariously horrific oil pancho villa celebrated civil war fictions ‘ tale curried cow short fiction resaca sky coup de grâce parker adderson philosopher master favorite murder back cover table bottomless grave jupiter doke brigadier general midst chickamauga major owl creek bridge never seen ghosts present ways damned thing haïta deadman revolutionary forces ambrose bierce rode parenticide club officer unreal gods questing antepenultimata battle leaders tough tussle nose missing killed reading man opinionator revolt notch dictionary contents introduction suggestions explanatory notes glossary snake text shepherd note mocking bird civilians new collection gathers dead moxons resumed identity remarkable body mexico thedevil bivouac son macabre masterpieces things military terms sites negligible tales wireless message soldier folk three gone away realm controversialist left behind
Mozart,Marcia Davenport,3.84,712 ratings,183266,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266490771l/183266.jpg,"Realistic, moving, engrossing and positively brilliant, this first American biography of the 18th century composer re-created Mozart--the man and his music--against the back ground of the he l","Biography, Music, Nonfiction, History, Biography Memoir",paperback,400.0,9781566198332.0,marciadavenport biography music nonfiction history biographymemoir,l man positively brilliant music th century composer back ground created mozart realistic moving engrossing first american biography,marciadavenport biography music nonfiction history biographymemoir l man positively brilliant music th century composer back ground created mozart realistic moving engrossing first american biography
Extract from Captain Stormfield's Visit to Heaven,Mark Twain,3.87,569 ratings,453751,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365462955l/453751.jpg,"Twain's witty vision of what heaven ""is really like"" is told from the point of view of the recently deceased Captain Stormfield. In a folksy narration peppered with sailor's jargon, the amiable, altogether down-to-earth merchant marine describes a series of amusingly disconcerting revelations about the next world.   Sitting on a cloud strumming a harp all day turns out to be insufferably boring; being eternally youthful also has its drawbacks when the captain finds himself not mixing well with a crowd of insipid teenagers; and Native Americans so outnumber whites in the North American district of Paradise that the average white Anglo-Saxon male has trouble finding someone to talk to. In fact the outlandish dimensions and characteristics of heaven utterly explode every human conception.   This funny, satirical spoof on human pretensions about the importance of our species in the grand scheme of things was the last published work by Mark Twain. The main character and plot were inspired by the dream of an actual sea captain whom Twain had known. Published at the beginning of the 20th century, when astronomy had just begun to reveal the huge expanse of outer space and traditional religious concepts of our place in the universe had become inadequate, Twain's humorous vision of the afterlife seems to reflect the new scientific awareness of the awesome cosmos that confronts us and the feelings of insignificance that this discovery produced.  Two years after publication of this ""extract,"" originally planned as a six-chapter book, Twain himself shipped off to follow in Captain Stormfield's wake.","Classics, Fiction, Humor, Short Stories, Literature, Fantasy, Literature, American",paperback,153.0,9781591020240.0,marktwain classics fiction humor shortstories literature fantasy literature american,captain stormfields wake last published work universe paradise talk grand scheme discovery produced two years fact cloud strumming reflect view sailors jargon twain recently deceased stormfield earth merchant marine describes reveal next world sitting afterlife seems day turns point insufferably boring outnumber whites plot begun extract originally planned folksy narration peppered six chapter book known really like beginning insignificance eternally youthful also native americans importance things th century outer space feelings told main character huge expanse species north american district twains witty vision actual sea become inadequate humorous new scientific awareness awesome cosmos trouble finding someone confronts us shipped amiable altogether average white anglo saxon male characteristics astronomy outlandish dimensions publication heaven utterly explode every human conception follow insipid teenagers mark harp inspired series amusingly disconcerting revelations finds mixing well pretensions dream crowd traditional religious concepts place funny satirical spoof drawbacks,marktwain classics fiction humor shortstories literature fantasy literature american captain stormfields wake last published work universe paradise talk grand scheme discovery produced two years fact cloud strumming reflect view sailors jargon twain recently deceased stormfield earth merchant marine describes reveal next world sitting afterlife seems day turns point insufferably boring outnumber whites plot begun extract originally planned folksy narration peppered six chapter book known really like beginning insignificance eternally youthful also native americans importance things th century outer space feelings told main character huge expanse species north american district twains witty vision actual sea become inadequate humorous new scientific awareness awesome cosmos trouble finding someone confronts us shipped amiable altogether average white anglo saxon male characteristics astronomy outlandish dimensions publication heaven utterly explode every human conception follow insipid teenagers mark harp inspired series amusingly disconcerting revelations finds mixing well pretensions dream crowd traditional religious concepts place funny satirical spoof drawbacks
Literary Taste,Arnold Bennett,3.65,234 ratings,1458550,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1183830330l/1458550._SY475_.jpg,"Arnold Bennett is probably not widely read in the 21st century, but in his heyday during the first 30 years of the 20th century he was one of the most popular and most respected authors in Britain, and his most famous works included The Old Wives' Tale, the Clayhanger Trilogy, and The Card. He was essentially a literary man, but he started out as a journalist and in his time he produced many self-improvement books such as were all the rage as more and more ordinary working-class people (having started to benefit from free education) sought the opportunity to better themselves in an era when the theme was often 'knowledge is power"". Literary Taste, which has a sub-title ""how to form it, with detailed instructions for collecting a complete library of English Literarure"", came into that category, and was a very successful publication. More than 100 years after it first appeared (in 1909) it will seem rather quaint, but there is much of value in it, and, bearing in mind that much good and great literary work has been produced in modern times, it is still worth a study. Remember it is a book that pointed the way for the generation of our grandfathers and great-grandfathers!","Nonfiction, Classics, Writing, Books About Books, Writing, Essays, Literature, Criticism, Literary Criticism",paperback,60.0,9781406927030.0,arnoldbennett nonfiction classics writing booksaboutbooks writing essays literature criticism literarycriticism,great grandfathers opportunity first years old wives tale theme detailed instructions literary work popular better modern times man essentially pointed rage journalist benefit produced many self improvement books st century probably much good often knowledge collecting still worth complete library study remember widely read ordinary working class people era english literarure came respected authors successful publication way th clayhanger trilogy book britain seem rather quaint generation value started bearing form mind card category appeared heyday free education sought one arnold bennett power taste time sub title famous works included,arnoldbennett nonfiction classics writing booksaboutbooks writing essays literature criticism literarycriticism great grandfathers opportunity first years old wives tale theme detailed instructions literary work popular better modern times man essentially pointed rage journalist benefit produced many self improvement books st century probably much good often knowledge collecting still worth complete library study remember widely read ordinary working class people era english literarure came respected authors successful publication way th clayhanger trilogy book britain seem rather quaint generation value started bearing form mind card category appeared heyday free education sought one arnold bennett power taste time sub title famous works included
"The Swoop!, or How Clarence Saved England: A Tale of the Great Invasion",P.G. Wodehouse,3.25,370 ratings,971687,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348262029l/971687.jpg,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,"Humor, Fiction, Humor, Comedy, Classics",paperback,78.0,9781434604880.0,pgwodehouse humor fiction humor comedy classics,print culturally important part curated reading experience books may conducted attempt made best efforts believe quality assurance occasional errors imperfections introduced work book back elected digitization process though remove continuing commitment pre historical reproduction bring impede preservation printed works worldwide,pgwodehouse humor fiction humor comedy classics print culturally important part curated reading experience books may conducted attempt made best efforts believe quality assurance occasional errors imperfections introduced work book back elected digitization process though remove continuing commitment pre historical reproduction bring impede preservation printed works worldwide
"Write It Right: The Celebrated Cynic's Language Peeves Deciphered, Appraised, and Annotated for 21st-Century Readers",Ambrose Bierce,3.82,151 ratings,6815365,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312026449l/6815365.jpg,"One of America's foremost language experts presents an annotated edition of A mbrose Bierce's classic catalog of correct speech.   Ambrose Bierce is best known for The Devil's Dictionary, but the prolific journalist, satirist, and fabulist was also a usage maven. In 1909, he published several hundred of his pet peeves in Write It Right: A Little Blacklist of Literary Faults.  Bierce's list includes some distinctions still familiar today--the which-that rule, less vs. fewer, lie and lay -- but it also abounds in now-forgotten shibboleths: Ovation, the critics of his time agreed, meant a Roman triumph, not a round of applause. Reliable was an ill-formed coinage, not for the discriminating. Donate was pretentious, jeopardize should be jeopard, demean meant ""comport oneself,"" not ""belittle."" And Bierce made up a few peeves of his own for good measure. We should say ""a coating of paint,"" he instructed, not ""a coat.""  To mark the 100th anniversary of Write It Right, language columnist Jan Freeman has investigated where Bierce's rules and taboos originated, how they've fared in the century since the blacklist, and what lies ahead. Will our language quibbles seem as odd in 2109 as Bierce's do today? From the evidence offered here, it looks like a very good bet.","Nonfiction, Language, Writing, Reference, Humanities, Language",hardcover,240.0,9780802717689.0,ambrosebierce nonfiction language writing reference humanities language,bierces right th anniversary paint devils dictionary time agreed meant rules fabulist write evidence offered mbrose classic catalog round century since instructed language columnist jan freeman best known annotated edition theyve fared lies ahead coat odd pet peeves mark prolific journalist satirist literary faults list includes little blacklist today published several hundred discriminating donate also good measure bet forgotten shibboleths ovation say correct speech ambrose bierce critics distinctions still familiar coating lay one rule less vs fewer lie applause reliable ill formed coinage looks like pretentious jeopardize roman triumph made abounds americas foremost experts presents taboos originated investigated jeopard demean comport oneself quibbles seem usage maven belittle,ambrosebierce nonfiction language writing reference humanities language bierces right th anniversary paint devils dictionary time agreed meant rules fabulist write evidence offered mbrose classic catalog round century since instructed language columnist jan freeman best known annotated edition theyve fared lies ahead coat odd pet peeves mark prolific journalist satirist literary faults list includes little blacklist today published several hundred discriminating donate also good measure bet forgotten shibboleths ovation say correct speech ambrose bierce critics distinctions still familiar coating lay one rule less vs fewer lie applause reliable ill formed coinage looks like pretentious jeopardize roman triumph made abounds americas foremost experts presents taboos originated investigated jeopard demean comport oneself quibbles seem usage maven belittle
John Thorndyke's Cases (Dr. Thorndyke Mysteries #2),R. Austin Freeman,3.90,240 ratings,354665,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348213011l/354665.jpg,"At the turn of the 20th century, Richard Austin Freeman (1862-1943) emerged as an author to be reckoned with in the world of detective fiction, introducing the highly memorable scientific detective Dr. Thorndyke, an early forensic sleuth. Armed with his little green case full of scientific detection aids, Thorndyke unravelled murders and mysteries using logic and material evidence. This volume collects seven of Thorndyke's most puzzling stories, including ""The Man with the Nailed Shoes,"" ""The Moabite Cipher,"" ""A Message from the Deep Sea,"" and many more.  Freeman's important novels include: The Mystery of 31 New Inn (1911), The Eye of Osiris (1911), and A Silent Witness (1914), artistically written and memorably characterized. Later major works include The Red Thumb Mark, When Rogues Fall Out, and The Jacob Street Mystery.","Mystery, Short Stories, Fiction, Mystery, Crime, Classics, European Literature, British Literature, Literature",paperback,200.0,9781557424556.0,raustinfreeman mystery shortstories fiction mystery crime classics europeanliterature britishliterature literature,memorably characterized later major works include detective fiction introducing mysteries using logic early forensic sleuth armed new inn volume collects seven scientific detection aids thorndyke unravelled murders little green case full eye man many rogues fall message silent witness artistically written moabite cipher osiris red thumb mark highly memorable dr turn mystery freemans important novels jacob street th century richard austin freeman emerged world thorndykes puzzling stories including nailed shoes material evidence reckoned deep sea author,raustinfreeman mystery shortstories fiction mystery crime classics europeanliterature britishliterature literature memorably characterized later major works include detective fiction introducing mysteries using logic early forensic sleuth armed new inn volume collects seven scientific detection aids thorndyke unravelled murders little green case full eye man many rogues fall message silent witness artistically written moabite cipher osiris red thumb mark highly memorable dr turn mystery freemans important novels jacob street th century richard austin freeman emerged world thorndykes puzzling stories including nailed shoes material evidence reckoned deep sea author
"Harding's Luck (House of Arden, #2)",E. Nesbit,3.98,165 ratings,176413,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348919997l/176413.jpg,"With the assistance of the magical Mouldiwarp, Edred and Elfrida travel back in time to earlier periods of English history, searching for clues. Harding's Luck is a sequel to The House of Arden, a great favorite of Nesbit fans; it's a story of injustice, poverty, deformity, magic, romance, suspense, sacrifice, and triumph over adversity that comes to its point with a fateful twist. . . .","Fantasy, Fiction, Classics, Childrens, Science Fiction, Time Travel",paperback,164.0,9781598188783.0,enesbit fantasy fiction classics childrens sciencefiction timetravel,story arden house nesbit fans great favorite injustice poverty deformity magic romance suspense sacrifice point triumph elfrida travel back earlier periods magical mouldiwarp edred adversity comes assistance english history searching fateful twist sequel clues hardings luck time,enesbit fantasy fiction classics childrens sciencefiction timetravel story arden house nesbit fans great favorite injustice poverty deformity magic romance suspense sacrifice point triumph elfrida travel back earlier periods magical mouldiwarp edred adversity comes assistance english history searching fateful twist sequel clues hardings luck time
Maida's Little Shop,Inez Haynes Irwin,4.18,149 ratings,1624648,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347391913l/1624648.jpg,"Maida's Little Shop is a gentle story with a delightful little girl heroine and lovable characters. Inez Haynes Irwin used the pseudonym Inez Haynes Gilmore. She was a feminist writer and was a member of the National Women's Party. Maida is a sweet little girl whose father is one of the richest men in America. She is pale, listless and lame. Her father buys her a small shop in Charlestown, Massachusetts in the hope that this will give her an interest and help restore her health. His only requirement is that she not tell anyone who she is or who her father is. Maida makes friends for the first time in her life who see her as an ordinary girl.","Childrens, Fiction, Historical, Classics, Historical, Historical Fiction, Childrens, Middle Grade, Young Adult",hardcover,168.0,9781421970691.0,inezhaynesirwin childrens fiction historical classics historical historicalfiction childrens middlegrade youngadult,see pale listless member maidas little shop lovable characters inez haynes irwin used national womens party maida father buys give charlestown massachusetts feminist writer small ordinary girl interest health tell anyone makes friends hope first time pseudonym gilmore lame gentle story richest men one life delightful heroine america requirement help restore sweet whose,inezhaynesirwin childrens fiction historical classics historical historicalfiction childrens middlegrade youngadult see pale listless member maidas little shop lovable characters inez haynes irwin used national womens party maida father buys give charlestown massachusetts feminist writer small ordinary girl interest health tell anyone makes friends hope first time pseudonym gilmore lame gentle story richest men one life delightful heroine america requirement help restore sweet whose
Harvard Classics: Five Foot Bookshelf,Charles William Eliot,4.57,49 ratings,2689403,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423677095l/2689403.jpg,"Harvard Classics: Five-Foot Shelf of Books Known as The Harvard Classics, this honored collection encompasses more than 2,000 years of the world's greatest poetry, drama, history, philosophy, scripture, and more. These are the books that have shaped our thoughts, our language...our very lives. The full 50-volume set brings together more than 1,850 works by over 300 masters of thought and letters, and includes Dr. Eliot's Reader's Guide and a General Index containing upwards of 18,000 entries.","Classics, Literature, Reference, Nonfiction, Philosophy, History, Anthologies, Collections",,22950.0,,charleswilliameliot classics literature reference nonfiction philosophy history anthologies collections,honored collection encompasses general index containing upwards harvard classics five foot shelf years entries worlds greatest poetry drama history philosophy scripture language includes dr eliots readers guide full volume set brings together shaped thought works books known letters lives masters thoughts,charleswilliameliot classics literature reference nonfiction philosophy history anthologies collections honored collection encompasses general index containing upwards harvard classics five foot shelf years entries worlds greatest poetry drama history philosophy scripture language includes dr eliots readers guide full volume set brings together shaped thought works books known letters lives masters thoughts
Æsthetic: As science of expression and general linguistic,(Editor),3.92,60 ratings,5520450,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1226002617l/5520450.jpg,"The great modern treatise on the theory of Art, containing both the Theory of Aesthetic and History of Ae","Philosophy, Nonfiction, Art, History, Cultural, Italy",paperback,503.0,,(editor) philosophy nonfiction art history cultural italy,art containing aesthetic great modern treatise history theory ae,(editor) philosophy nonfiction art history cultural italy art containing aesthetic great modern treatise history theory ae
Black Magic,Benedetto Croce,4.03,77 ratings,1014997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347291274l/1014997.jpg,"Witches, spells, ghosts, pacts with the Devil, occult rituals, love triangles, popes and the Anti-Christ are some of the ingredients of this chilling early horror work (set in the middle-ages) by Marjorie Bowen that some consider to be the ultimate Gothic","Horror, Fantasy, Fiction, Gothic",paperback,372.0,9781419110245.0,benedettocroce horror fantasy fiction gothic,chilling early horror work set witches spells ghosts pacts middle ages consider devil occult rituals love triangles popes ultimate gothic marjorie bowen ingredients anti christ,benedettocroce horror fantasy fiction gothic chilling early horror work set witches spells ghosts pacts middle ages consider devil occult rituals love triangles popes ultimate gothic marjorie bowen ingredients anti christ
What Diantha Did,Marjorie Bowen,3.64,109 ratings,1573898,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390197480l/1573898.jpg,"This edition of What Diantha Did makes newly available Charlotte Perkins Gilman’s first novel, complete with an in-depth introduction. First published serially in Gilman’s magazine The Forerunner in 1909–10, the novel tells the story of Diantha Bell, a young woman who leaves her home and her fiancé to start a housecleaning business. A resourceful heroine, Diantha quickly expands her business into an enterprise that includes a maid service, cooked food delivery service, restaurant, and hotel. By assigning a cash value to women’s “invisible” work, providing a means for the well-being and moral uplift of working girls, and releasing middle-class and leisure-class women from the burden of conventional domestic chores, Diantha proves to her family and community the benefits of professionalized housekeeping. In her introduction to the novel, Charlotte J. Rich highlights Gilman’s engagement with such hotly debated Progressive Era issues as the “servant question,” the rise of domestic science, and middle-class efforts to protect and aid the working girl. She illuminates the novel’s connections to Gilman’s other feminist works, including “The Yellow Wall-Paper” and Herland; to her personal life; and to her commitment to women’s social and economic freedom. Rich contends that the novel’s engagement with class and race makes it particularly significant to the newly complex understanding of Gilman that has emerged in recent scholarship. What Diantha Did provides essential insight into Charlotte Perkins Gilman’s important legacy of social thought.","Fiction, Feminism, Literature, American, Classics, Literature",paperback,200.0,9780822335191.0,marjoriebowen fiction feminism literature american classics literature,race makes resourceful heroine diantha quickly expands business feminist works including newly complex understanding professionalized housekeeping story social thought cash value leaves middle class efforts assigning releasing forerunner rise protect commitment leisure women engagement means connections yellow wall paper young woman start introduction invisible work providing particularly significant recent scholarship domestic science available charlotte perkins gilman ’ moral uplift burden community working girl personal life benefits provides essential insight magazine herland girls novel tells hotly debated progressive era issues first complete – conventional chores proves illuminates maid service cooked food delivery restaurant housecleaning emerged enterprise edition depth published serially economic freedom rich contends j highlights fiancé includes important legacy well family aid servant question hotel bell home,marjoriebowen fiction feminism literature american classics literature race makes resourceful heroine diantha quickly expands business feminist works including newly complex understanding professionalized housekeeping story social thought cash value leaves middle class efforts assigning releasing forerunner rise protect commitment leisure women engagement means connections yellow wall paper young woman start introduction invisible work providing particularly significant recent scholarship domestic science available charlotte perkins gilman ’ moral uplift burden community working girl personal life benefits provides essential insight magazine herland girls novel tells hotly debated progressive era issues first complete – conventional chores proves illuminates maid service cooked food delivery restaurant housecleaning emerged enterprise edition depth published serially economic freedom rich contends j highlights fiancé includes important legacy well family aid servant question hotel bell home
The Yellow God: An Idol of Africa,Charlotte Perkins Gilman,3.63,116 ratings,2025003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348177501l/2025003.jpg,"If Haggard–one of the greatest adventure writers of all time–is remembered now, it is for his novels featuring Allan Quatermain, a hero whose exploits form the most important sequence of his books. Quatermain's life is chronicled in such novels as King Solomon's Mines, Allan Quaterman, She, and many others. However, despite the importance of the Quaterman books, many of Haggard's other novels are interesting in their own right. Nada the Lily is the first of four books about the Zulus, all of which are excellent. Eric Brighteyes is rich, fantasy-laden Icelandic saga. The World's Desire (written with Andrew Lang) is a fantasy about the characters in The Odyssey. And there are numerous other titles (many of them reprinted by Wildside Press as part of the Wildside Fantasy Classics series) which bring undeservingly lost Haggard books back into print. The Yellow Idol, originally published in 1908, is another of Haggard's African novels, and it features many elements of the fantastic, such as a magic mask and fetish objects, a lost race, reincarnation, and an immortal woman whose many husbands she has preserved as mummies! It certainly deserved a place alongside Haggards other African novels and more than stands its own as a thrilling adventure novel.","Adventure, Classics, Fantasy, Fiction, Novels",paperback,248.0,9781587154355.0,charlotteperkinsgilman adventure classics fantasy fiction novels,lost race reincarnation print haggard – one part important sequence four books place alongside haggards hero whose exploits form another mummies first thrilling adventure novel preserved novels fantastic time yellow idol originally published certainly deserved excellent eric brighteyes reprinted features many elements rich fantasy laden icelandic saga immortal woman husbands featuring allan quatermain importance numerous characters remembered wildside press greatest writers chronicled right nada andrew lang zulus bring undeservingly back lily others however despite magic mask interesting stands african titles quatermains life fetish objects worlds desire written quaterman king solomons mines classics series odyssey,charlotteperkinsgilman adventure classics fantasy fiction novels lost race reincarnation print haggard – one part important sequence four books place alongside haggards hero whose exploits form another mummies first thrilling adventure novel preserved novels fantastic time yellow idol originally published certainly deserved excellent eric brighteyes reprinted features many elements rich fantasy laden icelandic saga immortal woman husbands featuring allan quatermain importance numerous characters remembered wildside press greatest writers chronicled right nada andrew lang zulus bring undeservingly back lily others however despite magic mask interesting stands african titles quatermains life fetish objects worlds desire written quaterman king solomons mines classics series odyssey
The Nicest Girl in the School,H. Rider Haggard,3.67,131 ratings,5981163,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347275815l/5981163.jpg,"Patty Hirst was no great scholar, but she was the ""nicest girl"" at Morton Priory, and a gifted artist a","Childrens, School Stories, Childrens, Fiction, Adventure, Academic, School",paperback,188.0,9781409900214.0,hriderhaggard childrens schoolstories childrens fiction adventure academic school,nicest girl great scholar patty hirst gifted artist morton priory,hriderhaggard childrens schoolstories childrens fiction adventure academic school nicest girl great scholar patty hirst gifted artist morton priory
The Lady of Blossholme,Angela Brazil,3.72,131 ratings,2985774,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347496056l/2985774.jpg,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.","Classics, Adventure, Fiction, Novels, Historical, Historical Fiction",paperback,272.0,9781600961212.0,angelabrazil classics adventure fiction novels historical historicalfiction,see support culturally important part preserved reproduced made generally available public domain nations within blurred pages poor pictures errant marks etc scholars believe notations united states remains original copyright references library stamps possible therefore knowledge alive know civilization appreciate concur true base may freely copy work thank enough possibly libraries around artifact keeping preservation process reproduction corporate historical works contain missing relevant selected distribute entity individual world housed america body,angelabrazil classics adventure fiction novels historical historicalfiction see support culturally important part preserved reproduced made generally available public domain nations within blurred pages poor pictures errant marks etc scholars believe notations united states remains original copyright references library stamps possible therefore knowledge alive know civilization appreciate concur true base may freely copy work thank enough possibly libraries around artifact keeping preservation process reproduction corporate historical works contain missing relevant selected distribute entity individual world housed america body
Jimbo: A Fantasy,H. Rider Haggard,3.62,103 ratings,2916227,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421010049l/2916227.jpg,"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.","Fantasy, Horror, Literature, Classics, Audiobook",paperback,236.0,9780548491058.0,hriderhaggard fantasy horror literature classics audiobook,book published print culturally important part blurred pages poor pictures errant marks etc appreciate understanding believe either enjoy work elected valuable back original artifact imperfections introduced continuing commitment hope preservation process reproduction bring may despite missing scanning occasional printed works worldwide,hriderhaggard fantasy horror literature classics audiobook book published print culturally important part blurred pages poor pictures errant marks etc appreciate understanding believe either enjoy work elected valuable back original artifact imperfections introduced continuing commitment hope preservation process reproduction bring may despite missing scanning occasional printed works worldwide
St. Martin's Summer,Algernon Blackwood,3.90,118 ratings,1774421,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348245106l/1774421.jpg,"The life of an heiress is in jeopardy and her only hope is to place her trust in the wiles of a middle-aged swordsman with no use for ""women's troubles."" As the plots of the conspirators converge it will take all the wiles and accumulated wisdom of Martin Marie Rigobert de Garnache [to] uncover their identity, to save Valerie de La Vauvraye and keep his promise to his Queen.","Historical, Historical Fiction, Adventure, Historical, Classics, Fiction",paperback,184.0,9781406804768.0,algernonblackwood historical historicalfiction adventure historical classics fiction,middle aged swordsman save valerie de la vauvraye take conspirators converge accumulated wisdom heiress womens troubles trust martin marie rigobert garnache queen uncover hope promise jeopardy use place life wiles identity keep plots,algernonblackwood historical historicalfiction adventure historical classics fiction middle aged swordsman save valerie de la vauvraye take conspirators converge accumulated wisdom heiress womens troubles trust martin marie rigobert garnache queen uncover hope promise jeopardy use place life wiles identity keep plots
